"","Name"
"1","AAL"
"2","AAPL"
"3","AAP"
"4","ABBV"
"5","ABC"
"6","ABT"
"7","ACN"
"8","ADBE"
"9","ADI"
"10","ADM"
"11","ADP"
"12","ADSK"
"13","ADS"
"14","AEE"
"15","AEP"
"16","AES"
"17","AET"
"18","AFL"
"19","AGN"
"20","AIG"
"21","AIV"
"22","AIZ"
"23","AJG"
"24","AKAM"
"25","ALB"
"26","ALGN"
"27","ALK"
"28","ALLE"
"29","ALL"
"30","ALXN"
"31","AMAT"
"32","AMD"
"33","AME"
"34","AMGN"
"35","AMG"
"36","AMP"
"37","AMT"
"38","AMZN"
"39","ANDV"
"40","ANSS"
"41","ANTM"
"42","AON"
"43","AOS"
"44","APA"
"45","APC"
"46","APD"
"47","APH"
"48","APTV"
"49","ARE"
"50","ARNC"
"51","ATVI"
"52","AVB"
"53","AVGO"
"54","AVY"
"55","AWK"
"56","AXP"
"57","AYI"
"58","AZO"
"59","A"
"60","BAC"
"61","BAX"
"62","BA"
"63","BBT"
"64","BBY"
"65","BDX"
"66","BEN"
"67","BF.B"
"68","BHF"
"69","BHGE"
"70","BIIB"
"71","BK"
"72","BLK"
"73","BLL"
"74","BMY"
"75","BRK.B"
"76","BSX"
"77","BWA"
"78","BXP"
"79","CAG"
"80","CAH"
"81","CAT"
"82","CA"
"83","CBG"
"84","CBOE"
"85","CBS"
"86","CB"
"87","CCI"
"88","CCL"
"89","CDNS"
"90","CELG"
"91","CERN"
"92","CFG"
"93","CF"
"94","CHD"
"95","CHK"
"96","CHRW"
"97","CHTR"
"98","CINF"
"99","CI"
"100","CLX"
"101","CL"
"102","CMA"
"103","CMCSA"
"104","CME"
"105","CMG"
"106","CMI"
"107","CMS"
"108","CNC"
"109","CNP"
"110","COF"
"111","COG"
"112","COL"
"113","COO"
"114","COP"
"115","COST"
"116","COTY"
"117","CPB"
"118","CRM"
"119","CSCO"
"120","CSRA"
"121","CSX"
"122","CTAS"
"123","CTL"
"124","CTSH"
"125","CTXS"
"126","CVS"
"127","CVX"
"128","CXO"
"129","C"
"130","DAL"
"131","DE"
"132","DFS"
"133","DGX"
"134","DG"
"135","DHI"
"136","DHR"
"137","DISCA"
"138","DISCK"
"139","DISH"
"140","DIS"
"141","DLR"
"142","DLTR"
"143","DOV"
"144","DPS"
"145","DRE"
"146","DRI"
"147","DTE"
"148","DUK"
"149","DVA"
"150","DVN"
"151","DWDP"
"152","DXC"
"153","D"
"154","EA"
"155","EBAY"
"156","ECL"
"157","ED"
"158","EFX"
"159","EIX"
"160","EL"
"161","EMN"
"162","EMR"
"163","EOG"
"164","EQIX"
"165","EQR"
"166","EQT"
"167","ESRX"
"168","ESS"
"169","ES"
"170","ETFC"
"171","ETN"
"172","ETR"
"173","EVHC"
"174","EW"
"175","EXC"
"176","EXPD"
"177","EXPE"
"178","EXR"
"179","FAST"
"180","FBHS"
"181","FB"
"182","FCX"
"183","FDX"
"184","FE"
"185","FFIV"
"186","FISV"
"187","FIS"
"188","FITB"
"189","FLIR"
"190","FLR"
"191","FLS"
"192","FL"
"193","FMC"
"194","FOXA"
"195","FOX"
"196","FRT"
"197","FTI"
"198","FTV"
"199","F"
"200","GD"
"201","GE"
"202","GGP"
"203","GILD"
"204","GIS"
"205","GLW"
"206","GM"
"207","GOOGL"
"208","GOOG"
"209","GPC"
"210","GPN"
"211","GPS"
"212","GRMN"
"213","GS"
"214","GT"
"215","GWW"
"216","HAL"
"217","HAS"
"218","HBAN"
"219","HBI"
"220","HCA"
"221","HCN"
"222","HCP"
"223","HD"
"224","HES"
"225","HIG"
"226","HII"
"227","HLT"
"228","HOG"
"229","HOLX"
"230","HON"
"231","HPE"
"232","HPQ"
"233","HP"
"234","HRB"
"235","HRL"
"236","HRS"
"237","HSIC"
"238","HST"
"239","HSY"
"240","HUM"
"241","IBM"
"242","ICE"
"243","IDXX"
"244","IFF"
"245","ILMN"
"246","INCY"
"247","INFO"
"248","INTC"
"249","INTU"
"250","IPG"
"251","IP"
"252","IQV"
"253","IRM"
"254","IR"
"255","ISRG"
"256","ITW"
"257","IT"
"258","IVZ"
"259","JBHT"
"260","JCI"
"261","JEC"
"262","JNJ"
"263","JNPR"
"264","JPM"
"265","JWN"
"266","KEY"
"267","KHC"
"268","KIM"
"269","KLAC"
"270","KMB"
"271","KMI"
"272","KMX"
"273","KORS"
"274","KO"
"275","KR"
"276","KSS"
"277","KSU"
"278","K"
"279","LB"
"280","LEG"
"281","LEN"
"282","LH"
"283","LKQ"
"284","LLL"
"285","LLY"
"286","LMT"
"287","LNC"
"288","LNT"
"289","LOW"
"290","LRCX"
"291","LUK"
"292","LUV"
"293","LYB"
"294","L"
"295","MAA"
"296","MAC"
"297","MAR"
"298","MAS"
"299","MAT"
"300","MA"
"301","MCD"
"302","MCHP"
"303","MCK"
"304","MCO"
"305","MDLZ"
"306","MDT"
"307","MET"
"308","MGM"
"309","MHK"
"310","MKC"
"311","MLM"
"312","MMC"
"313","MMM"
"314","MNST"
"315","MON"
"316","MOS"
"317","MO"
"318","MPC"
"319","MRK"
"320","MRO"
"321","MSFT"
"322","MSI"
"323","MS"
"324","MTB"
"325","MTD"
"326","MU"
"327","MYL"
"328","M"
"329","NAVI"
"330","NBL"
"331","NCLH"
"332","NDAQ"
"333","NEE"
"334","NEM"
"335","NFLX"
"336","NFX"
"337","NI"
"338","NKE"
"339","NLSN"
"340","NOC"
"341","NOV"
"342","NRG"
"343","NSC"
"344","NTAP"
"345","NTRS"
"346","NUE"
"347","NVDA"
"348","NWL"
"349","NWSA"
"350","NWS"
"351","OKE"
"352","OMC"
"353","ORCL"
"354","ORLY"
"355","OXY"
"356","O"
"357","PAYX"
"358","PBCT"
"359","PCAR"
"360","PCG"
"361","PCLN"
"362","PDCO"
"363","PEG"
"364","PEP"
"365","PFE"
"366","PFG"
"367","PGR"
"368","PG"
"369","PHM"
"370","PH"
"371","PKG"
"372","PKI"
"373","PLD"
"374","PM"
"375","PNC"
"376","PNR"
"377","PNW"
"378","PPG"
"379","PPL"
"380","PRGO"
"381","PRU"
"382","PSA"
"383","PSX"
"384","PVH"
"385","PWR"
"386","PXD"
"387","PX"
"388","PYPL"
"389","QCOM"
"390","QRVO"
"391","RCL"
"392","REGN"
"393","REG"
"394","RE"
"395","RF"
"396","RHI"
"397","RHT"
"398","RJF"
"399","RL"
"400","RMD"
"401","ROK"
"402","ROP"
"403","ROST"
"404","RRC"
"405","RSG"
"406","RTN"
"407","SBAC"
"408","SBUX"
"409","SCG"
"410","SCHW"
"411","SEE"
"412","SHW"
"413","SIG"
"414","SJM"
"415","SLB"
"416","SLG"
"417","SNA"
"418","SNI"
"419","SNPS"
"420","SO"
"421","SPGI"
"422","SPG"
"423","SRCL"
"424","SRE"
"425","STI"
"426","STT"
"427","STX"
"428","STZ"
"429","SWKS"
"430","SWK"
"431","SYF"
"432","SYK"
"433","SYMC"
"434","SYY"
"435","TAP"
"436","TDG"
"437","TEL"
"438","TGT"
"439","TIF"
"440","TJX"
"441","TMK"
"442","TMO"
"443","TPR"
"444","TRIP"
"445","TROW"
"446","TRV"
"447","TSCO"
"448","TSN"
"449","TSS"
"450","TWX"
"451","TXN"
"452","TXT"
"453","T"
"454","UAA"
"455","UAL"
"456","UA"
"457","UDR"
"458","UHS"
"459","ULTA"
"460","UNH"
"461","UNM"
"462","UNP"
"463","UPS"
"464","URI"
"465","USB"
"466","UTX"
"467","VAR"
"468","VFC"
"469","VIAB"
"470","VLO"
"471","VMC"
"472","VNO"
"473","VRSK"
"474","VRSN"
"475","VRTX"
"476","VTR"
"477","VZ"
"478","V"
"479","WAT"
"480","WBA"
"481","WDC"
"482","WEC"
"483","WFC"
"484","WHR"
"485","WLTW"
"486","WMB"
"487","WMT"
"488","WM"
"489","WRK"
"490","WU"
"491","WYNN"
"492","WYN"
"493","WY"
"494","XEC"
"495","XEL"
"496","XLNX"
"497","XL"
"498","XOM"
"499","XRAY"
"500","XRX"
"501","XYL"
"502","YUM"
"503","ZBH"
"504","ZION"
"505","ZTS"
